loss,coverage_loss,risk_loss,coverage_mae,risk_accuracy,val_loss,val_coverage_loss,val_risk_loss,val_coverage_mae,val_risk_accuracy,lr
0.5207517743110657,0.17710542678833008,1.1966856718063354,0.3706212639808655,0.3214285671710968,0.5060468316078186,0.178919717669487,1.1442787647247314,0.38626962900161743,0.3571428656578064,0.001
0.4896819591522217,0.1595960110425949,1.135403037071228,0.3536284863948822,0.3988095223903656,0.4865598678588867,0.16348619759082794,1.1166521310806274,0.37043339014053345,0.369047611951828,0.001
0.4717089831829071,0.15500852465629578,1.0874452590942383,0.3442842960357666,0.3720238208770752,0.47355130314826965,0.15462331473827362,1.095102071762085,0.3608056604862213,0.4642857015132904,0.001
0.47348690032958984,0.15233135223388672,1.1006619930267334,0.34667161107063293,0.375,0.46471256017684937,0.15040409564971924,1.0764795541763306,0.3554213047027588,0.511904776096344,0.001
0.46324026584625244,0.15074527263641357,1.0712292194366455,0.3391530513763428,0.4285714328289032,0.4575313925743103,0.14679951965808868,1.062003493309021,0.34995120763778687,0.5357142686843872,0.001
0.44752615690231323,0.13928988575935364,1.046620488166809,0.32749027013778687,0.4047619104385376,0.450388103723526,0.1422221064567566,1.0498744249343872,0.3422001600265503,0.5714285969734192,0.001
0.44647416472435,0.13988645374774933,1.0426667928695679,0.32851895689964294,0.4285714328289032,0.44460973143577576,0.13773760199546814,1.0419683456420898,0.33292415738105774,0.5952380895614624,0.001
0.43569445610046387,0.13460198044776917,1.0199018716812134,0.32109004259109497,0.431547611951828,0.44119152426719666,0.13549181818962097,1.0365842580795288,0.32435619831085205,0.5833333134651184,0.001
0.43959909677505493,0.1355469524860382,1.0315172672271729,0.3218288719654083,0.449404776096344,0.43781203031539917,0.13334904611110687,1.0311548709869385,0.31811898946762085,0.5833333134651184,0.001
0.4234865605831146,0.13004843890666962,0.9914124608039856,0.3135996460914612,0.511904776096344,0.43668055534362793,0.1321503221988678,1.0308829545974731,0.3119180202484131,0.5833333134651184,0.001
0.42490795254707336,0.1275346577167511,1.0027227401733398,0.30542227625846863,0.4672619104385376,0.43535885214805603,0.13071085512638092,1.0305558443069458,0.3075256943702698,0.5833333134651184,0.001
0.424797922372818,0.1266903132200241,1.0050501823425293,0.3051144778728485,0.4583333432674408,0.4337160885334015,0.1289149820804596,1.030030608177185,0.30360835790634155,0.5833333134651184,0.001
0.41565653681755066,0.12541498243808746,0.9783521294593811,0.3019463121891022,0.4791666567325592,0.4309394359588623,0.12647977471351624,1.027250051498413,0.2993375360965729,0.5833333134651184,0.001
0.4101165235042572,0.1193091869354248,0.9748519062995911,0.2919388711452484,0.5208333134651184,0.429598867893219,0.1254778951406479,1.0257641077041626,0.2963000237941742,0.5833333134651184,0.001
0.407094806432724,0.1214728131890297,0.9603604078292847,0.293313592672348,0.511904776096344,0.42827215790748596,0.12424193322658539,1.0248459577560425,0.2929515838623047,0.5833333134651184,0.001
0.406919926404953,0.11728993058204651,0.970136821269989,0.28885629773139954,0.5208333134651184,0.42657971382141113,0.1226060763001442,1.023603916168213,0.2890150249004364,0.5952380895614624,0.001
0.40074166655540466,0.11506091058254242,0.9553526639938354,0.28530752658843994,0.5148809552192688,0.42306217551231384,0.12003109604120255,1.0184751749038696,0.2846212387084961,0.6071428656578064,0.001
0.3982248902320862,0.11533351242542267,0.9468550086021423,0.2811346650123596,0.5476190447807312,0.42181396484375,0.11866311728954315,1.0180044174194336,0.280723512172699,0.6071428656578064,0.001
0.3952491283416748,0.10614774376153946,0.9588954448699951,0.27393659949302673,0.523809552192688,0.41884303092956543,0.11684492975473404,1.012882113456726,0.27727797627449036,0.6071428656578064,0.001
0.3943851590156555,0.10801651328802109,0.9522324800491333,0.2733723223209381,0.5446428656578064,0.41446614265441895,0.114593006670475,1.0041589736938477,0.27345556020736694,0.6071428656578064,0.001
0.3827287256717682,0.10461215674877167,0.9219029545783997,0.26880955696105957,0.5595238208770752,0.41133761405944824,0.11241329461336136,0.9993811249732971,0.2693275809288025,0.6071428656578064,0.001
0.3770684599876404,0.09933452308177948,0.9158791303634644,0.2609308660030365,0.5595238208770752,0.4088715612888336,0.11079917848110199,0.9953956604003906,0.26502183079719543,0.6071428656578064,0.001
0.3739272356033325,0.09987785667181015,0.9045383930206299,0.25941234827041626,0.574404776096344,0.407941997051239,0.11042831093072891,0.9935096502304077,0.2626136541366577,0.6071428656578064,0.001
0.3680988550186157,0.09884417802095413,0.8878867626190186,0.25564396381378174,0.5595238208770752,0.40714240074157715,0.1101357713341713,0.9918984770774841,0.2606494426727295,0.6071428656578064,0.001
0.37542518973350525,0.09978795051574707,0.9105269908905029,0.2572920024394989,0.5714285969734192,0.4059404134750366,0.1096009835600853,0.9896507263183594,0.25868329405784607,0.6071428656578064,0.001
0.37765204906463623,0.10336461663246155,0.9101317524909973,0.2570415139198303,0.5892857313156128,0.40438225865364075,0.10866338014602661,0.9871693849563599,0.2562413811683655,0.6071428656578064,0.001
0.36347684264183044,0.09889839589595795,0.8738857507705688,0.2559914290904999,0.5565476417541504,0.4027442932128906,0.1079111322760582,0.9840529561042786,0.25449174642562866,0.6071428656578064,0.001
0.3621557652950287,0.09512628614902496,0.8787796497344971,0.24780207872390747,0.5982142686843872,0.40160948038101196,0.10742305219173431,0.9818810820579529,0.25253984332084656,0.6190476417541504,0.001
0.36135467886924744,0.09502214193344116,0.8768908381462097,0.24697010219097137,0.5922619104385376,0.3977741003036499,0.10620947927236557,0.9725125432014465,0.25015363097190857,0.6309523582458496,0.001
0.35812193155288696,0.09136103838682175,0.875274658203125,0.2414187490940094,0.6071428656578064,0.396553099155426,0.10571341216564178,0.9701988697052002,0.24851985275745392,0.6190476417541504,0.001
0.3709662854671478,0.10200171172618866,0.8938254117965698,0.25293755531311035,0.601190447807312,0.3960512578487396,0.10551320761442184,0.9695318341255188,0.2476092278957367,0.6309523582458496,0.001
0.356546550989151,0.09234698116779327,0.8687871098518372,0.24399621784687042,0.6101190447807312,0.3961539566516876,0.10561550408601761,0.970129132270813,0.24693262577056885,0.6309523582458496,0.001
0.35587042570114136,0.09148990362882614,0.869012713432312,0.23935210704803467,0.6279761791229248,0.39574694633483887,0.1054549440741539,0.9695940613746643,0.245332270860672,0.6309523582458496,0.001
